,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mega,4.05,38.3,290.67,81,91,5.09,ET,1697729555
1,anadyr,64.75,177.4833,262.43,85,0,4.0,RU,1697729556
2,qaqortoq,60.7167,-46.0333,272.15,44,0,0.82,GL,1697729556
3,ushuaia,-54.8,-68.3,282.96,60,20,8.05,AR,1697729267
4,port douglas,-16.4833,145.4667,295.98,77,52,4.35,AU,1697729558
5,jerome,42.7241,-114.5186,288.39,71,0,5.14,US,1697729559
6,puerto natales,-51.7236,-72.4875,288.4,38,20,9.26,CL,1697729477
7,grytviken,-54.2811,-36.5092,279.84,72,5,5.14,GS,1697729560
8,blackmans bay,-43.0167,147.3167,283.44,91,70,1.43,AU,1697729561
9,nagqu,31.5,92.0,270.17,82,100,1.3,CN,1697729561
10,adamstown,-25.066,-130.1015,295.07,87,20,4.78,PN,1697729562
11,wailua homesteads,22.0669,-159.378,297.59,85,100,4.12,US,1697729562
12,holualoa,19.6228,-155.9522,295.85,74,0,3.09,US,1697729563
13,chibougamau,49.9168,-74.3659,281.94,81,100,6.69,CA,1697729563
14,yeppoon,-23.1333,150.7333,293.03,65,71,5.15,AU,1697729563
15,bilibino,68.0546,166.4372,248.68,99,39,1.79,RU,1697729348
16,port-aux-francais,-49.35,70.2167,274.74,71,61,7.21,TF,1697729564
17,douglas,41.3,-96.167,286.96,83,40,3.6,US,1697729520
18,invercargill,-46.4,168.35,283.72,93,94,6.71,NZ,1697729455
19,newman,37.3138,-121.0208,289.34,48,0,1.13,US,1697729566
20,saipan,15.1355,145.701,300.54,89,40,4.63,MP,1697729459
21,pinheiro machado,-31.5783,-53.3811,292.07,67,0,6.13,BR,1697729567
22,kodinsk,58.6881,99.1844,278.95,95,97,2.01,RU,1697729477
23,kasongo,-4.45,26.6667,295.83,91,82,1.76,CD,1697729568
24,lompoc,34.6391,-120.4579,290.23,94,100,2.57,US,1697729570
25,papatowai,-46.5619,169.4708,284.24,80,100,6.79,NZ,1697729572
26,vilyuchinsk,52.9306,158.4028,280.33,81,28,0.17,RU,1697729572
27,udachny,66.4167,112.4,261.3,96,51,2.77,RU,1697729573
28,tsiombe,-25.3,45.4833,297.35,71,46,5.4,MG,1697729574
29,conceicao do coite,-11.5639,-39.2828,306.22,27,97,2.61,BR,1697729574
30,labytnangi,66.6572,66.4183,273.85,99,100,2.63,RU,1697729473
31,edinburgh of the seven seas,-37.0676,-12.3116,287.25,93,100,11.63,SH,1697729575
32,punta arenas,-53.15,-70.9167,285.21,50,40,10.29,CL,1697729576
33,ilulissat,69.2167,-51.1,267.16,73,75,3.09,GL,1697729576
34,stanley,54.868,-1.6985,288.55,94,100,2.57,GB,1697729342
35,tanout,14.9709,8.8879,308.16,8,58,5.12,NE,1697729577
36,axim,4.8699,-2.2405,301.04,74,65,3.99,GH,1697729578
37,ilfracombe,51.2093,-4.1134,290.68,92,96,2.24,GB,1697729578
38,dudinka,69.4058,86.1778,279.61,99,100,7.6,RU,1697729578
39,cova figueira,14.8905,-24.2934,298.63,76,84,5.1,CV,1697729579
40,port elizabeth,-33.918,25.5701,294.31,87,20,7.72,ZA,1697729580
41,barguzin,53.6167,109.6167,274.59,77,42,2.68,RU,1697729580
42,port lincoln,-34.7333,135.8667,289.63,55,2,4.08,AU,1697729581
43,bethel,41.3712,-73.414,290.68,67,20,4.12,US,1697729582
44,yellowknife,62.456,-114.3525,280.6,100,100,3.09,CA,1697729221
45,bardai,11.65,7.2333,306.4,25,37,1.54,NG,1697729584
46,naze,28.3667,129.4833,291.66,72,5,1.15,JP,1697729585
47,olyokminsk,60.3736,120.4264,270.92,77,8,4.47,RU,1697729586
48,college,64.8569,-147.8028,271.12,92,100,7.2,US,1697729586
49,ribeira grande,38.5167,-28.7,294.37,52,40,6.69,PT,1697729587
50,burang,30.25,81.1667,272.46,76,85,2.31,CN,1697729588
51,jijiga,9.35,42.8,294.3,66,98,3.8,ET,1697729588
52,hammerfest,70.6634,23.6821,274.4,64,75,5.66,NO,1697729589
53,luderitz,-26.6481,15.1594,290.72,77,19,3.7,NA,1697729589
54,petite riviere,-20.1894,57.4453,298.55,83,34,4.25,MU,1697729590
55,cabo san lucas,22.8909,-109.9124,303.01,76,100,2.68,MX,1697729591
56,labuan,5.2767,115.2417,298.35,94,40,1.03,MY,1697729591
57,porto barra do ivinheima,-22.9667,-53.6667,307.59,38,7,3.07,BR,1697729592
58,carnarvon,-24.8667,113.6333,295.27,68,0,9.99,AU,1697729593
59,yuzhno-kurilsk,44.0306,145.8556,287.25,58,100,2.39,RU,1697729593
60,laguna de perlas,12.3429,-83.6712,298.2,90,100,2.94,NI,1697729595
61,cockburn town,21.4612,-71.1419,302.28,74,12,6.59,TC,1697729596
62,sisimiut,66.9395,-53.6735,268.62,78,100,4.8,GL,1697729596
63,yuzhne,46.6221,31.1013,288.83,71,70,11.2,UA,1697729598
64,kerikeri,-35.2268,173.9474,289.77,94,100,4.17,NZ,1697729599
65,st. john's,47.5649,-52.7093,286.64,69,40,7.72,CA,1697729382
66,bokovskaya,49.229,41.8306,283.63,51,65,3.51,RU,1697729602
67,primero de mayo,-32.2552,-58.4228,293.46,35,54,3.95,AR,1697729603
68,jinan,36.6683,116.9972,287.38,18,44,3.99,CN,1697729603
69,hohhot,40.8106,111.6522,276.31,38,0,1.0,CN,1697729604
70,jining,35.405,116.5814,286.96,25,32,2.87,CN,1697729604
71,puerto ayora,-0.7393,-90.3518,302.13,79,78,5.63,EC,1697729605
72,afaahiti,-17.75,-149.2833,296.08,83,69,4.97,PF,1697729605
